SiteID,Below_Capacity,Over_Capacity,Min_IQR_Upper_Bound_Value,Max_Value_95Perc,Average_Rate_Of_Change,Unusual_Change_90th_Perc.,MaxRoC,Unusual_Spike,Repeated_values,Unnamed: 10
3356,0.0,1026150.0,1207062.0,1026150.0,3044.814734,1655.25,7183895.0,1655.25,4,
3413,0.0,0.8705,0.8705,1.0,0.011314543,0.0593531,0.691129,0.0593531,4,
3480,0.0,451.0,463.5,451.0,10.10952434,48.0,648.0,48.0,4,
3482,0.0,437.25,437.25,1540.0,36.41747474,167.0,1040.0,167.0,4,
3483,0.0,410.0,455.5,410.0,8.568577932,47.0,514.0,47.0,4,
3590,0.0,229.5,331.793875,229.5,4.445460154,20.0,244.54,20.0,4,
3701,0.0,20.25238628,20.25238628,33.0,0.586798898,3.0,75.0,3.0,4,
3739,0.0,181.0,206.25,181.0,5.093946742,23.0,1010.0,23.0,4,
3745,0.0,18.41875,18.41875,38.0,0.82455361,4.0,67.0,4.0,4,
3795,0.0,17.0,21.780005,17.0,0.281791173,1.485,50.9,1.485,4,
3828,0.0,214.15625,214.15625,507.15,11.44882541,55.0,1844.0,55.0,4,
3829,0.0,186.5,270.5,186.5,5.587416531,21.0,162.5,21.0,4,
3830,0.0,10.198606,10.375,10.198606,0.295822571,1.0706759,242.55,1.0706759,4,
3846,0.0,603.2,919.395,603.2,17.45922288,72.0,528.0,72.0,4,
3865,0.0,10.2325,14.38,10.2325,1.428817317,4.415826087,10.063,4.415826087,4,
3866,0.0,29.0,40.5575,29.0,0.821704165,3.8105,25.0,3.8105,4,
3870,0.0,8.3,11.83,8.3,0.700447015,1.039752,1595.336503,1.039752,4,
3889,0.0,20.79971739,29.0738587,20.79971739,0.931210141,3.09,426.363,3.09,4,
3913,0.0,575.375,575.375,1200.0,35.8318016,169.2,1667.0,169.2,4,
3922,0.0,3.5,3.9,3.5,0.188492505,2.425,3.5,2.425,4,
3924,0.0,2972.0,2972.0,3267.0,102.3358793,350.0,1116.0,350.0,4,
3958,0.0,49.62095,49.62095,57.77135,1.229035465,6.0,183.0,6.0,4,
4016,0.0,4.3,6.25,4.3,0.174950062,2.0,5.0,2.0,4,
4020,0.0,18.0,24.9,18.0,0.531619432,2.0,375.47,2.0,4,
4107,0.0,3.5,3.75,3.5,0.097148575,0.257635194,5.0,0.257635194,4,
4347,0.0,370.65,370.65,538.7,12.04090359,51.0,548.0,51.0,4,
4450,0.0,168.15,254.39675,168.15,1.750397335,7.5,87.5,7.5,4,
4453,0.0,9.933375,9.933375,10.587,0.344769848,1.8039,21.307,1.8039,4,
4477,0.0,177.5,177.5,387.0,6.371141477,25.0,1645.0,25.0,4,
4478,0.0,85.685,114.78275,85.685,2.165968345,8.0,899.86,8.0,4,
4481,0.0,230.0,277.0,230.0,4.872218252,22.0,287.0,22.0,4,
4483,0.0,52.0,77.0,52.0,2.916984001,16.0,65.0,16.0,4,
4485,0.0,305.5,305.5,419.0,10.94141001,51.0,1301.0,51.0,4,
4486,0.0,552.0,552.0,716.5,17.68377576,74.0,697.0,74.0,4,
4487,0.0,754.35,1003.5,754.35,22.7676026,127.0,760.0,127.0,4,
4488,0.0,663.0,830.0,663.0,21.47721029,102.25,843.0,102.25,4,
4489,0.0,356.0,514.5,356.0,11.57062369,45.0,301.8,45.0,4,
4503,0.0,5.81,7.175,5.81,0.219842741,1.0,35.5,1.0,4,
4611,0.0,21.62,21.62,43.415,1.107036975,4.0,77.2,4.0,4,
4624,0.0,30306.24,37251.38819,30306.24,69.15326727,178.616,14418.5,178.616,4,
4782,0.0,0.98,1.119769965,0.98,0.016665389,0.05,1.32,0.05,4,
4801,0.0,4.18,4.701625,4.18,2.024414297,2.089,3358.743,2.089,4,
4844,0.0,439.84625,439.84625,773.5325,47.10948862,123.104,12854.17,123.104,4,
4848,0.0,323.44,409.6,323.44,4.505057127,23.4220135,316.33,23.4220135,4,
4849,0.0,58.305,58.305,227.24,5.748556464,29.32,542.14,29.32,4,
4852,0.0,444.51,444.51,612.9075,14.41301888,55.070003,1576.56,55.070003,4,
4853,0.0,415.282,622.9415,415.282,19.28217385,36.014,31120.81,36.014,4,
4854,0.0,588.88125,588.88125,786.4315556,11.31001285,62.54954549,719.95008,62.54954549,4,
4857,0.0,307229.1,361571.195,307229.1,888.1250596,1589.355,309624.0,1589.355,4,
4858,0.0,9818.57031,9837.58,9818.57031,0.652157379,0.6,1202.25,0.6,4,
4859,0.0,1926.7225,2731.0,1926.7225,21.80984696,31.665,8950.0,31.665,4,
4861,0.0,22.94375,22.94375,31.207,0.895543962,4.722,408.26,4.722,4,
4862,0.0,9900.1,9910.75115,9900.1,0.876111133,0.42,1202.25,0.42,4,
4863,0.0,1179.0,1824.45,1179.0,26.04963759,29.0,9618.0,29.0,4,
4865,0.0,11.305,11.305,25.3125,0.653763602,3.44,412.03,3.44,4,
4866,0.0,9987.19141,9997.772563,9987.19141,14.98450899,0.5595,9982.39,0.5595,4,
4867,0.0,2715.0,3414.0,2715.0,19.44534197,35.0,8603.6,35.0,4,
4869,0.0,22.435,22.435,32.744,1.332082434,3.9,887.83,3.9,4,
4875,0.0,5442.85,5442.85,135877.1,421.0210478,246.5,144126.05,246.5,4,
4879,0.0,27.2,27.2,31.38,0.875771301,3.2385,100.2,3.2385,4,
4924,0.0,449.28,773.918712,449.28,8.109262652,36.5025,360.1,36.5025,4,
4954,0.0,33.004,65.925,33.004,1.644513765,0.10974,1724.0,0.10974,4,
5138,0.0,598.3,598.3,1160.0,35.57379347,138.0,13100.0,138.0,4,
5229,0.0,2.44242,2.44242,2.854,0.272519057,1.086475,24.609,1.086475,4,
5230,0.0,2.43,2.43,2.63315,0.313041428,1.2226338,14.362,1.2226338,4,
5259,0.0,3407.25,3407.25,3630.0,97.33044671,350.0,5178.0,350.0,4,
